id,user_id,item_id,score,exposure,group,position
0,484751,16258,0.8405061505738102,0.15909880786929417,3,1
1,484751,5859,0.9222034263093942,0.6309297535714575,3,2
2,484751,12467,0.8400892932068683,0.15773243839286438,3,3
3,484751,7330,0.9186649792277407,0.430676558073393,3,4
4,484751,16219,0.8943387802419888,0.38685280723454163,3,5
5,484751,16242,0.8955901805173455,0.3562071871080222,3,6
6,484751,1207,0.9371669265873396,0.24465054211822604,4,7
7,484751,2343,0.925115173732383,0.25,4,8
8,484751,16256,0.8699758845571536,0.18665241123894338,6,9
9,484751,45754,0.9090897109638042,0.2890648263178878,4,10
1000,511133,7283,0.6985593918297469,0.1686130986895011,4,1
1001,511133,307,0.8634848524807689,0.6309297535714575,4,2
1002,511133,1519,0.828404664410329,0.5,4,3
1003,511133,5735,0.683961459213254,0.1631512196835108,4,4
1004,511133,328,0.8130411701123749,0.38685280723454163,4,5
1005,511133,2817,0.8103470326870635,0.3562071871080222,4,6
1006,511133,7987,0.8092773024904764,0.3333333333333333,4,7
1007,511133,848,0.8090442284752478,0.31546487678572877,4,8
1008,511133,391,0.7042084702635437,0.17144160057391344,2,9
1009,511133,4,0.7961672568147947,0.2890648263178878,4,10
2000,2988905,2258,0.9831417934607823,1.0,4,1
2001,2988905,2119,0.9824598345704237,0.6309297535714575,3,2
2002,2988905,1802,0.8852244910571215,0.5,2,3
2003,2988905,953,0.9577264021769453,0.430676558073393,4,4
2004,2988905,4505,0.9769303845198644,0.1505149978319906,4,5
2005,2988905,4499,0.9383491171738024,0.22106472945750374,3,6
2006,2988905,2658,0.9794329994452514,0.3333333333333333,4,7
2007,2988905,231,0.9612672766667095,0.17376534287144,4,8
2008,2988905,4546,0.9316473289579349,0.2037950470905062,2,9
2009,2988905,10917,0.9129522170282195,0.2890648263178878,2,10
3000,8967907,10862,0.3595031678175603,0.15292486830283214,4,1
3001,8967907,307,0.6008294424956085,0.6309297535714575,4,2
3002,8967907,295,0.5674204963515557,0.5,4,3
3003,8967907,3639,0.5492064681516132,0.430676558073393,4,4
3004,8967907,2072,0.5437125296538243,0.38685280723454163,4,5
3005,8967907,4986,0.5277137112589771,0.3562071871080222,4,6
3006,8967907,302,0.5132474155564333,0.3333333333333333,4,7
3007,8967907,555,0.5037265497919161,0.31546487678572877,4,8
3008,8967907,308,0.40347530876881055,0.1810425967800402,4,9
3009,8967907,8003,0.5001355564641042,0.2890648263178878,4,10
4000,9125143,2658,0.9220672058777774,1.0,4,1
4001,9125143,3525,0.7550921703280288,0.1505149978319906,3,2
4002,9125143,224,0.8897791654048309,0.5,4,3
4003,9125143,239,0.8858315715467046,0.430676558073393,4,4
4004,9125143,231,0.8817722312422646,0.38685280723454163,4,5
4005,9125143,241,0.8766149885282833,0.3562071871080222,4,6
4006,9125143,2152,0.8728926295850757,0.3333333333333333,4,7
4007,9125143,3706,0.7790115499933196,0.16207652439312228,3,8
4008,9125143,11740,0.8705362588589153,0.3010299956639812,4,9
4009,9125143,236,0.8683952135110334,0.2890648263178878,4,10
5000,9170423,9468,0.3863201017078286,0.16544255391905832,4,1
5001,9170423,1254,0.3672800836433431,0.15957141566993818,4,2
5002,9170423,52,0.5282947756451634,0.31546487678572877,3,3
5003,9170423,2771,0.3480183147085212,0.1505149978319906,4,4
5004,9170423,1514,0.38934179643935496,0.16794877895704194,4,5
5005,9170423,197,0.3532236772185764,0.1548123827357682,3,6
5006,9170423,1519,0.5646786246596935,0.3333333333333333,4,7
5007,9170423,1533,0.3596356757426552,0.15186115333086322,4,8
5008,9170423,86,0.43907310592165205,0.19342640361727081,6,9
5009,9170423,87,0.5067122617679211,0.2890648263178878,4,10
