id,user_id,item_id,score,exposure,group,position
0,484751,1344,0.015482944111083098,1.0,3,1
1,484751,369,0.014447728998252552,0.6309297535714575,4,2
2,484751,3081,0.004730893863265034,0.15442266280111014,6,3
3,484751,8939,0.012846270232901613,0.430676558073393,3,4
4,484751,78,0.005919891979454164,0.38685280723454163,2,5
5,484751,26877,0.008028358287688503,0.16794877895704194,2,6
6,484751,663,0.008305154276879854,0.19195872000656014,3,7
7,484751,3526,0.013235453338997937,0.2,4,8
8,484751,18302,0.00905327386861541,0.21274605355336318,3,9
9,484751,717,0.011308519163092503,0.2890648263178878,4,10
1000,511133,1519,0.11071100872004744,1.0,4,1
1001,511133,2389,0.09042638146685389,0.6309297535714575,4,2
1002,511133,1401,0.08967632341921897,0.5,4,3
1003,511133,3671,0.08916877500940475,0.430676558073393,4,4
1004,511133,1369,0.08814920590507698,0.38685280723454163,3,5
1005,511133,6557,0.08638251368994823,0.3562071871080222,4,6
1006,511133,7767,0.08026721641126895,0.3333333333333333,4,7
1007,511133,1571,0.0781711404280352,0.31546487678572877,3,8
1008,511133,402,0.07545265518560793,0.3010299956639812,4,9
1009,511133,2780,0.07539044151267345,0.2890648263178878,4,10
2000,2988905,1344,0.015484025844944746,1.0,3,1
2001,2988905,387,0.008211100732064158,0.19823986317056053,3,2
2002,2988905,3081,0.004731892440583054,0.2,6,3
2003,2988905,3526,0.013240725743381745,0.430676558073393,4,4
2004,2988905,8939,0.012845570040828374,0.38685280723454163,3,5
2005,2988905,663,0.008307652467161116,0.15442266280111014,3,6
2006,2988905,26877,0.00802397265350523,0.19195872000656014,2,7
2007,2988905,78,0.0059207235448904445,0.16794877895704194,2,8
2008,2988905,18302,0.009048905704294244,0.21274605355336318,3,9
2009,2988905,717,0.011330298490783713,0.2890648263178878,4,10
3000,8967907,717,0.16051033209956997,1.0,4,1
3001,8967907,1869,0.10164767221085855,0.6309297535714575,3,2
3002,8967907,1122,0.10150693500172678,0.5,4,3
3003,8967907,713,0.09558855102076966,0.430676558073393,4,4
3004,8967907,4601,0.09473343621036975,0.38685280723454163,4,5
3005,8967907,770,0.09068859710913096,0.3562071871080222,4,6
3006,8967907,719,0.0872388024750817,0.3333333333333333,4,7
3007,8967907,718,0.08158651244578936,0.31546487678572877,4,8
3008,8967907,2921,0.07357154236162497,0.2789429456511298,6,9
3009,8967907,2658,0.08037437654543161,0.2890648263178878,4,10
4000,9125143,1344,0.01661922726776243,1.0,3,1
4001,9125143,687,0.008124095927211285,0.19195872000656014,3,2
4002,9125143,5924,0.013969585860336366,0.5,4,3
4003,9125143,307,0.013705282918934776,0.430676558073393,4,4
4004,9125143,3526,0.013688581730760747,0.38685280723454163,4,5
4005,9125143,8939,0.013614679322487914,0.3562071871080222,3,6
4006,9125143,2099,0.013105016360564296,0.3333333333333333,4,7
4007,9125143,9192,0.008785597147443768,0.2037950470905062,3,8
4008,9125143,19602,0.009303636558850319,0.2153382790366965,3,9
4009,9125143,717,0.011150232429282805,0.2890648263178878,4,10
5000,9170423,328,0.16015456883968382,1.0,4,1
5001,9170423,87,0.11407158826229007,0.6309297535714575,4,2
5002,9170423,5130,0.0575355646089521,0.1754250635819545,3,3
5003,9170423,2780,0.1099297984143038,0.430676558073393,4,4
5004,9170423,314,0.05710961862383287,0.1729696904450771,3,5
5005,9170423,2389,0.09692374462980718,0.3562071871080222,4,6
5006,9170423,2791,0.09353955980988594,0.3333333333333333,3,7
5007,9170423,2817,0.09497137573226333,0.31546487678572877,4,8
5008,9170423,6730,0.057448620599219354,0.17458343004804494,1,9
5009,9170423,1192,0.09126429894499594,0.2890648263178878,4,10
6000,11057974,2096,0.31012566226246946,1.0,4,1
6001,11057974,1547,0.2798968960044454,0.6309297535714575,4,2
6002,11057974,1518,0.2634865740465496,0.5,2,3
6003,11057974,1573,0.2607741054246319,0.430676558073393,4,4
6004,11057974,556,0.2488100869871323,0.38685280723454163,4,5
6005,11057974,84,0.24744790593511234,0.3562071871080222,3,6
6006,11057974,3671,0.24648167581376884,0.3333333333333333,4,7
6007,11057974,402,0.24367769306619125,0.31546487678572877,4,8
6008,11057974,1544,0.2390324078163995,0.3010299956639812,4,9
6009,11057974,6985,0.2331208999731676,0.2890648263178878,4,10
7000,11583687,4601,0.13540980193530558,1.0,4,1
7001,11583687,2921,0.1247169745200293,0.6309297535714575,6,2
7002,11583687,719,0.1083212433909651,0.5,4,3
7003,11583687,1869,0.0996293860296136,0.430676558073393,3,4
7004,11583687,2658,0.09861795089308273,0.38685280723454163,4,5
7005,11583687,2149,0.09447815959732146,0.3562071871080222,4,6
7006,11583687,1122,0.09410271828475829,0.3333333333333333,4,7
7007,11583687,645,0.09277182226179903,0.31546487678572877,3,8
7008,11583687,770,0.09219341609127991,0.3010299956639812,4,9
7009,11583687,954,0.08760364307531852,0.2890648263178878,3,10
8000,12110991,1519,0.10462094491019512,1.0,4,1
8001,12110991,6557,0.09163906242690938,0.6309297535714575,4,2
8002,12110991,1401,0.08963308900447725,0.5,4,3
8003,12110991,1369,0.08604088005453397,0.430676558073393,3,4
8004,12110991,3671,0.0815089113183113,0.38685280723454163,4,5
8005,12110991,2389,0.08011392885319972,0.3562071871080222,4,6
8006,12110991,1571,0.07659262657957523,0.3333333333333333,3,7
8007,12110991,402,0.07150278225478128,0.31546487678572877,4,8
8008,12110991,12422,0.034987426720121534,0.15602106502222501,6,9
8009,12110991,2780,0.06740759501095091,0.2890648263178878,4,10
9000,12416100,298,0.20445974636964892,1.0,5,1
9001,12416100,9506,0.06704262163976207,0.15561139140249397,2,2
9002,12416100,252,0.4219007400183974,0.5,4,3
9003,12416100,251,0.20285615278714852,0.430676558073393,2,4
9004,12416100,279,0.2923657655050499,0.38685280723454163,3,5
9005,12416100,52,0.22150463661076444,0.3562071871080222,3,6
9006,12416100,328,0.31469357698696293,0.3333333333333333,4,7
9007,12416100,1213,0.23237687252193193,0.31546487678572877,4,8
9008,12416100,18,0.20597254558480824,0.3010299956639812,4,9
9009,12416100,248,0.19824690436891057,0.2890648263178878,2,10
10000,13255263,717,0.17213319906984947,1.0,4,1
10001,13255263,1869,0.10092543317164236,0.6309297535714575,3,2
10002,13255263,1122,0.09882120924472203,0.5,4,3
10003,13255263,713,0.09857281575734379,0.430676558073393,4,4
10004,13255263,4601,0.08576786803747494,0.38685280723454163,4,5
10005,13255263,770,0.08564909393898375,0.3562071871080222,4,6
10006,13255263,719,0.08105521201145485,0.3333333333333333,4,7
10007,13255263,718,0.07835813084408073,0.31546487678572877,4,8
10008,13255263,2119,0.04137848367577197,0.17144160057391344,3,9
10009,13255263,778,0.07647212645870788,0.2890648263178878,4,10
11000,13600360,231,0.3899240791168714,1.0,4,1
11001,13600360,238,0.3184301708532459,0.6309297535714575,4,2
11002,13600360,242,0.288713397337956,0.5,4,3
11003,13600360,40,0.283673481879063,0.430676558073393,4,4
11004,13600360,241,0.26219061774780383,0.38685280723454163,4,5
11005,13600360,1398,0.24877466509472473,0.3562071871080222,4,6
11006,13600360,519,0.22129807296121456,0.3333333333333333,4,7
11007,13600360,239,0.21137732959571737,0.31546487678572877,4,8
11008,13600360,235,0.20894338647933955,0.3010299956639812,4,9
11009,13600360,244,0.20804356279783612,0.2890648263178878,4,10
12000,14435318,314,0.16818582083533168,1.0,3,1
12001,14435318,52,0.1497240199581882,0.6309297535714575,3,2
12002,14435318,298,0.14580372699788066,0.5,5,3
12003,14435318,247,0.12122797052746773,0.430676558073393,2,4
12004,14435318,1213,0.10568694890800255,0.38685280723454163,4,5
12005,14435318,110,0.10319490801820264,0.3562071871080222,3,6
12006,14435318,1022,0.10309581197238846,0.3333333333333333,4,7
12007,14435318,40,0.1001825517433609,0.31546487678572877,4,8
12008,14435318,3914,0.09942336045181659,0.3010299956639812,4,9
12009,14435318,522,0.09481154745782133,0.2890648263178878,4,10
13000,15549531,5721,0.0856673883785819,0.1810425967800402,5,1
13001,15549531,3671,0.19465804963249178,0.6309297535714575,4,2
13002,15549531,84,0.15212089202717552,0.5,3,3
13003,15549531,402,0.14623880343173137,0.430676558073393,4,4
13004,15549531,2779,0.1174013928954455,0.26264953503719357,3,5
13005,15549531,2817,0.1406888029390463,0.3562071871080222,4,6
13006,15549531,556,0.14016673357984896,0.3333333333333333,4,7
13007,15549531,1192,0.13663833854220914,0.31546487678572877,4,8
13008,15549531,1331,0.13007751785213936,0.3010299956639812,3,9
13009,15549531,1205,0.12716121786710524,0.2890648263178878,4,10
14000,17300476,279,0.26346413575565975,0.18428883314870617,3,1
14001,17300476,12303,0.07026863432816906,0.6309297535714575,6,2
14002,17300476,86,0.06762308925400977,0.5,6,3
14003,17300476,252,0.31908747790898373,0.430676558073393,4,4
14004,17300476,1213,0.2544438310108122,0.38685280723454163,4,5
14005,17300476,248,0.2173187039152069,0.3562071871080222,2,6
14006,17300476,52,0.24144551986920126,0.3333333333333333,3,7
14007,17300476,803,0.08524201121217287,0.15863495891559604,4,8
14008,17300476,3641,0.2134361109173257,0.16260831227163416,4,9
14009,17300476,298,0.18513271912591817,0.2890648263178878,5,10
15000,17517954,1344,0.015522698529293158,1.0,3,1
15001,17517954,369,0.014456366098078115,0.6309297535714575,4,2
15002,17517954,26877,0.00805958881077945,0.5,2,3
15003,17517954,3526,0.01325507199414379,0.430676558073393,4,4
15004,17517954,8939,0.012879733404369797,0.38685280723454163,3,5
15005,17517954,5924,0.014189495086946837,0.3562071871080222,4,6
