id,user_id,item_id,score,exposure,group,position
0,484751,8610,0.02894154667490364,1.0,3,1
1,484751,2966,0.03140622904998979,0.15084420062289414,3,2
2,484751,2118,0.036002938895003445,0.15773243839286438,3,3
3,484751,2188,0.036105592251012,0.16544255391905832,3,4
4,484751,717,0.09216983242476999,0.16604764621593782,4,5
5,484751,8995,0.06453533725001619,0.1905514124267734,4,6
6,484751,11846,0.046220598324899914,0.1949590218937863,3,7
7,484751,760,0.0661556330349688,0.31546487678572877,4,8
8,484751,8939,0.0661350788374059,0.3010299956639812,3,9
9,484751,19625,0.04574757730673917,0.2890648263178878,3,10
1000,511133,307,0.8120371175079026,1.0,4,1
1001,511133,298,0.7873138526884624,0.6309297535714575,5,2
1002,511133,294,0.780512303246157,0.5,4,3
1003,511133,40,0.6181156350950704,0.430676558073393,4,4
1004,511133,74,0.5678563480981513,0.38685280723454163,4,5
1005,511133,231,0.5621159943880901,0.3562071871080222,4,6
1006,511133,295,0.5605773703660214,0.3333333333333333,4,7
1007,511133,304,0.5542571506684382,0.31546487678572877,4,8
1008,511133,237,0.20094096379283663,0.15292486830283214,4,9
1009,511133,242,0.4644239558492684,0.2890648263178878,4,10
2000,2988905,8939,0.06632558158664185,1.0,3,1
2001,2988905,2188,0.036326920415002024,0.6309297535714575,3,2
2002,2988905,26877,0.04253758176956639,0.16604764621593782,2,3
2003,2988905,8995,0.06459870550389145,0.17718382013555792,4,4
2004,2988905,713,0.09161949202054613,0.1879018247091076,4,5
2005,2988905,3554,0.04609955127549807,0.19342640361727081,3,6
2006,2988905,717,0.09278786993332876,0.3333333333333333,4,7
2007,2988905,369,0.06719213589061018,0.31546487678572877,4,8
2008,2988905,11846,0.04611846254883762,0.1949590218937863,3,9
2009,2988905,19625,0.045486532723993965,0.2890648263178878,3,10
3000,8967907,2921,0.08796386014964208,1.0,6,1
3001,8967907,1571,0.041296617190380754,0.6309297535714575,3,2
3002,8967907,314,0.04109615298770935,0.16005307325482135,3,3
3003,8967907,3477,0.042287308339187694,0.430676558073393,3,4
3004,8967907,4601,0.09738166643061459,0.38685280723454163,4,5
3005,8967907,978,0.06998262111815734,0.3562071871080222,4,6
3006,8967907,585,0.08340232221461302,0.1615554674429964,4,7
3007,8967907,2149,0.08375166123091822,0.16370565544521568,4,8
3008,8967907,5858,0.04497969648267747,0.1729696904450771,3,9
3009,8967907,78,0.08112448031853702,0.2890648263178878,2,10
4000,9125143,2119,0.027331188817025266,1.0,3,1
4001,9125143,24458,0.025757149779239694,0.15221034671324338,2,2
4002,9125143,663,0.03443530686958296,0.1505149978319906,3,3
4003,9125143,19602,0.037867826494106464,0.1686130986895011,3,4
4004,9125143,3554,0.037733812498626694,0.17905223175104137,3,5
4005,9125143,717,0.09445862780251178,0.3562071871080222,4,6
4006,9125143,759,0.05764077241767109,0.3333333333333333,4,7
4007,9125143,2235,0.060465743369668014,0.18003132665669264,4,8
4008,9125143,11846,0.03860572297082678,0.1810425967800402,3,9
4009,9125143,8939,0.05942165718360185,0.2890648263178878,3,10
5000,9170423,294,0.8838264363194396,1.0,4,1
5001,9170423,307,0.871436670302792,0.6309297535714575,4,2
5002,9170423,298,0.8193351123819975,0.5,5,3
5003,9170423,40,0.6601849644438369,0.430676558073393,4,4
5004,9170423,295,0.613460219136758,0.38685280723454163,4,5
5005,9170423,231,0.5932594463348857,0.3562071871080222,4,6
5006,9170423,74,0.581816577145683,0.3333333333333333,4,7
5007,9170423,248,0.30943405278219555,0.1854490234153689,2,8
5008,9170423,519,0.5416730961189326,0.3010299956639812,4,9
5009,9170423,370,0.48356190567891383,0.2890648263178878,3,10
6000,11057974,294,0.9892792332570363,1.0,4,1
6001,11057974,307,0.9828121698550022,0.6309297535714575,4,2
6002,11057974,298,0.9173256612337652,0.5,5,3
6003,11057974,40,0.7318921566495068,0.430676558073393,4,4
6004,11057974,295,0.6801892725244407,0.38685280723454163,4,5
6005,11057974,231,0.6520474509758455,0.3562071871080222,4,6
6006,11057974,74,0.6451963197273242,0.3333333333333333,4,7
6007,11057974,304,0.6171497407309616,0.31546487678572877,4,8
6008,11057974,519,0.5938083555521371,0.3010299956639812,4,9
6009,11057974,370,0.5343036791333138,0.2890648263178878,3,10
7000,11583687,1398,0.22734071711094056,1.0,4,1
7001,11583687,848,0.20084354505219368,0.6309297535714575,4,2
7002,11583687,298,0.19151361757240007,0.5,5,3
7003,11583687,305,0.18932786177509642,0.430676558073393,4,4
7004,11583687,3671,0.18647836851261523,0.38685280723454163,4,5
7005,11583687,170,0.16104581135060617,0.3562071871080222,3,6
7006,11583687,2059,0.1747903840477256,0.3333333333333333,5,7
7007,11583687,307,0.18420038937943228,0.31546487678572877,4,8
7008,11583687,2921,0.09109817530391491,0.1572932473495469,6,9
7009,11583687,231,0.15981825679730094,0.2890648263178878,4,10
8000,12110991,294,0.8379338576183841,1.0,4,1
8001,12110991,307,0.814418102892512,0.6309297535714575,4,2
8002,12110991,298,0.7619480633395211,0.5,5,3
8003,12110991,40,0.6253254453252908,0.430676558073393,4,4
8004,12110991,295,0.5842356752354263,0.38685280723454163,4,5
8005,12110991,231,0.5645903794266386,0.3562071871080222,4,6
8006,12110991,74,0.5420065430782514,0.3333333333333333,4,7
8007,12110991,304,0.5310517870679152,0.31546487678572877,4,8
8008,12110991,519,0.5091164548658327,0.3010299956639812,4,9
8009,12110991,546,0.4631520619472334,0.2890648263178878,4,10
9000,12416100,294,0.9265684823612392,1.0,4,1
9001,12416100,307,0.9194570319261095,0.6309297535714575,4,2
9002,12416100,298,0.8624364647751283,0.5,5,3
9003,12416100,40,0.6903631690014567,0.430676558073393,4,4
9004,12416100,295,0.6406891394498332,0.38685280723454163,4,5
9005,12416100,231,0.6181988595977931,0.3562071871080222,4,6
9006,12416100,74,0.6102930023663558,0.3333333333333333,4,7
9007,12416100,248,0.3212190344737568,0.1854490234153689,2,8
9008,12416100,519,0.5653534765572575,0.3010299956639812,4,9
9009,12416100,370,0.5057315016225827,0.2890648263178878,3,10
10000,13255263,78,0.09847162313941818,1.0,2,1
10001,13255263,978,0.0935967983760832,0.6309297535714575,4,2
10002,13255263,1401,0.11348925429345168,0.1810425967800402,4,3
10003,13255263,26,0.056561194755214116,0.16054408543402138,2,4
10004,13255263,4601,0.13104467402945066,0.38685280723454163,4,5
10005,13255263,2921,0.10745436034389562,0.3562071871080222,6,6
10006,13255263,3671,0.10804881267535768,0.3333333333333333,4,7
10007,13255263,1398,0.10305527389343923,0.31546487678572877,4,8
10008,13255263,247,0.06742490374773065,0.18208790046993825,2,9
10009,13255263,5858,0.06714537136614739,0.2890648263178878,3,10
11000,13600360,294,0.8567777867490112,1.0,4,1
11001,13600360,307,0.8511773364668483,0.6309297535714575,4,2
11002,13600360,298,0.8020382179475659,0.5,5,3
11003,13600360,40,0.6435205566247972,0.430676558073393,4,4
11004,13600360,295,0.5956926210307432,0.38685280723454163,4,5
11005,13600360,231,0.5804923959058951,0.3562071871080222,4,6
11006,13600360,52,0.3063282398145089,0.1854490234153689,3,7
11007,13600360,304,0.554171534318994,0.31546487678572877,4,8
11008,13600360,519,0.5343914128552654,0.3010299956639812,4,9
11009,13600360,370,0.4743140263837832,0.2890648263178878,3,10
12000,14435318,294,0.8588455578449282,1.0,4,1
12001,14435318,307,0.8322939026547169,0.6309297535714575,4,2
12002,14435318,298,0.7765866161961704,0.5,5,3
12003,14435318,40,0.6471482234943623,0.430676558073393,4,4
12004,14435318,295,0.6070923977683594,0.38685280723454163,4,5
12005,14435318,231,0.5807323647900708,0.3562071871080222,4,6
